2019-11-27 09:38:50 startup archives install
2019-11-27 09:38:50 install base-passwd:armhf <none> 3.5.46
2019-11-27 09:38:50 status half-installed base-passwd:armhf 3.5.46
2019-11-27 09:38:50 status unpacked base-passwd:armhf 3.5.46
2019-11-27 09:38:50 configure base-passwd:armhf 3.5.46 3.5.46
2019-11-27 09:38:50 status half-configured base-passwd:armhf 3.5.46
2019-11-27 09:38:51 status installed base-passwd:armhf 3.5.46
2019-11-27 09:38:51 startup archives install
2019-11-27 09:38:51 install base-files:armhf <none> 10.1ubuntu9
2019-11-27 09:38:51 status half-installed base-files:armhf 10.1ubuntu9
2019-11-27 09:38:51 status unpacked base-files:armhf 10.1ubuntu9
2019-11-27 09:38:51 configure base-files:armhf 10.1ubuntu9 10.1ubuntu9
2019-11-27 09:38:51 status half-configured base-files:armhf 10.1ubuntu9
2019-11-27 09:38:51 status installed base-files:armhf 10.1ubuntu9
2019-11-27 09:38:51 startup archives install
2019-11-27 09:38:51 upgrade dpkg 1.19.6ubuntu1 1.19.6ubuntu1
2019-11-27 09:38:51 status half-configured dpkg 1.19.6ubuntu1
2019-11-27 09:38:51 status unpacked dpkg 1.19.6ubuntu1
2019-11-27 09:38:51 status half-installed dpkg 1.19.6ubuntu1
2019-11-27 09:38:51 status unpacked dpkg:armhf 1.19.6ubuntu1
2019-11-27 09:38:52 configure dpkg:armhf 1.19.6ubuntu1 1.19.6ubuntu1
2019-11-27 09:38:52 status half-configured dpkg:armhf 1.19.6ubuntu1
2019-11-27 09:38:52 status installed dpkg:armhf 1.19.6ubuntu1
2019-11-27 09:38:52 startup archives install
2019-11-27 09:38:52 install libc6:armhf <none> 2.29-0ubuntu2
2019-11-27 09:38:52 status half-installed libc6:armhf 2.29-0ubuntu2
2019-11-27 09:38:52 status unpacked libc6:armhf 2.29-0ubuntu2
2019-11-27 09:38:52 configure libc6:armhf 2.29-0ubuntu2 2.29-0ubuntu2
2019-11-27 09:38:52 status half-configured libc6:armhf 2.29-0ubuntu2
2019-11-27 09:38:53 status installed libc6:armhf 2.29-0ubuntu2
2019-11-27 09:38:53 startup archives install
2019-11-27 09:38:53 install perl-base:armhf <none> 5.28.1-6
2019-11-27 09:38:53 status half-installed perl-base:armhf 5.28.1-6
2019-11-27 09:38:53 status unpacked perl-base:armhf 5.28.1-6
